rect1_col,rect1_loc,rect2_col,rect2_loc,rect3_col,rect3_loc,rect4_col,rect4_loc,rect5_col,rect5_loc,rect6_col,rect6_loc,rect7_col,rect7_loc,rect8_col,rect8_loc,corr_col,probe_loc,nBlock,Block1.thisRepN,Block1.thisTrialN,Block1.thisN,Block1.thisIndex,Block2.thisRepN,Block2.thisTrialN,Block2.thisN,Block2.thisIndex,Block3.thisRepN,Block3.thisTrialN,Block3.thisN,Block3.thisIndex,thisRow.t,notes,Instruction.started,key_instruct.started,Instruction.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,fixation.started,rect1.started,rect2.started,rect3.started,rect4.started,rect5.started,rect6.started,rect7.started,rect8.started,fixation.stopped,rect1.stopped,rect2.stopped,rect3.stopped,rect4.stopped,rect5.stopped,rect6.stopped,rect7.stopped,rect8.stopped,probe.started,slider.started,colobar.started,trial.stopped,slider.response,slider.rt,Rest.started,key_instruct_2.started,Rest.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007255699994857423,0.022816899996541906,4.382025799997791,space,4.344756400001643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#C1FF00,"(0.15, -0.2)",#00F9FF,"(-0.3, -0.25)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",0.2109375,"(0.15, -0.2)",2,,,,,,,,,0,34,34,10,1237.082521599994,,,,,,,,1237.069737699996,1237.082521599994,1239.086925699994,1239.086925699994,1239.086925699994,1239.086925699994,1239.086925699994,1239.086925699994,1239.086925699994,1239.086925699994,1239.086925699994,1239.5991750999965,1239.5991750999965,1239.5991750999965,1239.5991750999965,1239.5991750999965,1239.5991750999965,1239.5991750999965,1239.5991750999965,1240.4823340999937,1240.4823340999937,1240.4823340999937,1242.0189474,0.20185185185185184,4.9340411000011954,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#B5FF00,"(0.25, -0.2)",#9D00FF,"(-0.25, -0.25)",#FF00A7,"(-0.1, 0.25)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",0.21875,"(0.25, -0.2)",3,,,,,,,,,0,35,35,27,1242.034120599994,,,,,,,,1242.0194969000004,1242.034120599994,1244.0322859000007,1244.0322859000007,1244.0322859000007,1244.0322859000007,1244.0322859000007,1244.0322859000007,1244.0322859000007,1244.0322859000007,1244.0482787,1244.5318917999975,1244.5318917999975,1244.5318917999975,1244.5318917999975,1244.5318917999975,1244.5318917999975,1244.5318917999975,1244.5318917999975,1245.4315987999944,1245.4315987999944,1245.4315987999944,1246.7161369999958,0.18518518518518517,4.673263000004226,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#0200FF,"(0.2, -0.25)",#FF0048,"(-0.2, -0.25)",#6800FF,"(0.2, 0)",#0040FF,"(-0.25, 0.25)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",0.671875,"(0.2, -0.25)",4,,,,,,,,,0,36,36,31,1246.7312493999998,,,,,,,,1246.7164144999988,1246.7312493999998,1248.7324235999986,1248.7324235999986,1248.7324235999986,1248.7324235999986,1248.7324235999986,1248.7324235999986,1248.7324235999986,1248.7324235999986,1248.7324235999986,1249.2479576999976,1249.2479576999976,1249.2479576999976,1249.2479576999976,1249.2479576999976,1249.2479576999976,1249.2479576999976,1249.2479576999976,1250.1322622999942,1250.1322622999942,1250.1322622999942,1253.1694287999999,0.9287037037037037,6.436312699996051,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#00FFBD,"(0.2, 0)",#00FFE7,"(-0.1, -0.3)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",0.4609375,"(0.2, 0)",2,,,,,,,,,0,37,37,19,1253.1866388999988,,,,,,,,1253.1699957999954,1253.1866388999988,1255.1815634999948,1255.1815634999948,1255.1815634999948,1255.1815634999948,1255.1815634999948,1255.1815634999948,1255.1815634999948,1255.1815634999948,1255.1971094999972,1255.6807029999982,1255.6807029999982,1255.6807029999982,1255.6807029999982,1255.6807029999982,1255.6807029999982,1255.6807029999982,1255.6807029999982,1256.5797865999994,1256.5797865999994,1256.5797865999994,1258.3215649999984,0.4462962962962963,5.118776899995282,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#9100FF,"(-0.2, 0.25)",#FF1E00,"(-0.25, -0.3)",#FF7E00,"(-0.35, -0.1)",#0093FF,"(-0.3, 0.25)",#FF8900,"(0.3, -0.1)",#FF00C5,"(0.25, 0.25)",#FF0042,"(0.15, -0.15)",#0010FF,"(-0.25, -0.1)",0.765625,"(-0.2, 0.25)",8,,,,,,,,,0,38,38,71,1258.331465999996,,,,,,,,1258.322103999999,1258.331465999996,1260.329240799998,1260.329240799998,1260.329240799998,1260.329240799998,1260.329240799998,1260.329240799998,1260.329240799998,1260.329240799998,1260.329240799998,1260.8300066999946,1260.8300066999946,1260.8300066999946,1260.8300066999946,1260.8300066999946,1260.8300066999946,1260.8300066999946,1260.8300066999946,1261.7341241999966,1261.7341241999966,1261.7341241999966,1263.618749399997,0.7518518518518518,5.270659500005422,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#00FFF3,"(0.15, 0.15)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",0.49609375,"(0.15, 0.15)",1,,,,,,,,,0,39,39,7,1263.6305522999974,,,,,,,,1263.6191059999983,1263.6305522999974,1265.6291538000005,1265.6291538000005,1265.6291538000005,1265.6291538000005,1265.6291538000005,1265.6291538000005,1265.6291538000005,1265.6291538000005,1265.6457374999954,1266.1289756999977,1266.1289756999977,1266.1289756999977,1266.1289756999977,1266.1289756999977,1266.1289756999977,1266.1289756999977,1266.1289756999977,1267.028386799997,1267.028386799997,1267.028386799997,1268.3694450999974,0.5074074074074074,4.73100169999816,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#DFFF00,"(0, -0.25)",#5C00FF,"(-0.2, -0.3)",#C1FF00,"(0.05, 0.1)",#FF00B3,"(0.2, 0.1)",#FF0C00,"(0.3, 0.2)",#FFBF00,"(-0.2, 0.2)",#808080,"(0, 0)",#808080,"(0, 0)",0.19140625,"(0, -0.25)",6,,,,,,,,,0,40,40,57,1268.3821873999987,,,,,,,,1268.3701433999959,1268.3821873999987,1270.3780217999956,1270.3780217999956,1270.3780217999956,1270.3780217999956,1270.3780217999956,1270.3780217999956,1270.3780217999956,1270.3780217999956,1270.4024305999992,1270.8793634999965,1270.8793634999965,1270.8793634999965,1270.8793634999965,1270.8793634999965,1270.8793634999965,1270.8793634999965,1270.8793634999965,1271.7778338999997,1271.7778338999997,1271.7778338999997,1273.6374192999938,0.7462962962962962,5.242880400001013,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#00FF4C,"(0.3, -0.15)",#FF00DD,"(0.2, 0.2)",#8BFF00,"(-0.15, -0.1)",#FF001E,"(0.3, -0.2)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",0.38671875,"(0.3, -0.15)",4,,,,,,,,,0,41,41,30,1273.6525326999981,,,,,,,,1273.6382572999937,1273.6525326999981,1275.6447305999973,1275.6447305999973,1275.6447305999973,1275.6447305999973,1275.6447305999973,1275.6447305999973,1275.6447305999973,1275.6447305999973,1275.6611463999943,1276.1455339999957,1276.1455339999957,1276.1455339999957,1276.1455339999957,1276.1455339999957,1276.1455339999957,1276.1455339999957,1276.1455339999957,1277.0437969999984,1277.0437969999984,1277.0437969999984,1281.712173699998,0.24537037037037035,8.055005399997754,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#B500FF,"(-0.1, -0.2)",#E500FF,"(-0.1, 0)",#00FFF3,"(-0.35, -0.25)",#00FF6A,"(-0.1, -0.3)",#00FF81,"(0.2, 0.1)",#7A00FF,"(-0.2, 0.05)",#FDFF00,"(0.25, 0.05)",#808080,"(0, 0)",0.7890625,"(-0.1, -0.2)",7,,,,,,,,,0,42,42,62,1281.7263552000004,,,,,,,,1281.7125926999943,1281.7263552000004,1283.7266497999954,1283.7266497999954,1283.7266497999954,1283.7266497999954,1283.7266497999954,1283.7266497999954,1283.7266497999954,1283.7266497999954,1283.7266497999954,1284.226363099995,1284.226363099995,1284.226363099995,1284.226363099995,1284.226363099995,1284.226363099995,1284.226363099995,1284.226363099995,1285.1263538999992,1285.1263538999992,1285.1263538999992,1286.8949872999947,0.4009259259259259,5.159372399997665,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#00FFFF,"(0.05, 0.1)",#00FF93,"(0.2, 0.2)",#001CFF,"(0.1, 0.15)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",0.50390625,"(0.05, 0.1)",3,,,,,,,,,0,43,43,20,1286.9091958999998,,,,,,,,1286.8952052999957,1286.9091958999998,1288.9100940999997,1288.9100940999997,1288.9100940999997,1288.9100940999997,1288.9100940999997,1288.9100940999997,1288.9100940999997,1288.9100940999997,1288.9100940999997,1289.4121319999977,1289.4121319999977,1289.4121319999977,1289.4121319999977,1289.4121319999977,1289.4121319999977,1289.4121319999977,1289.4121319999977,1290.3115028999964,1290.3115028999964,1290.3115028999964,1291.9806348999991,0.5064814814814815,5.071664200004307,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#0070FF,"(-0.2, -0.25)",#9D00FF,"(0.1, 0.25)",#5CFF00,"(0.15, -0.25)",#00FF3A,"(0.35, 0)",#009FFF,"(-0.35, -0.25)",#00ABFF,"(-0.3, 0.05)",#808080,"(0, 0)",#808080,"(0, 0)",0.59765625,"(-0.2, -0.25)",6,,,,,,,,,0,44,44,56,1291.9931852999944,,,,,,,,1291.981147999999,1291.9931852999944,1293.9917385999943,1293.9917385999943,1293.9917385999943,1293.9917385999943,1293.9917385999943,1293.9917385999943,1293.9917385999943,1293.9917385999943,1293.9917385999943,1294.4933707999953,1294.4933707999953,1294.4933707999953,1294.4933707999953,1294.4933707999953,1294.4933707999953,1294.4933707999953,1294.4933707999953,1295.3916160000008,1295.3916160000008,1295.3916160000008,1297.2285911,0.5574074074074074,5.227267099995515,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#FF0083,"(0.2, 0)",#2C00FF,"(0.25, -0.2)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",0.91796875,"(0.2, 0)",2,,,,,,,,,0,45,45,13,1297.2442767999964,,,,,,,,1297.2292517999958,1297.2442767999964,1299.2412674000007,1299.2412674000007,1299.2412674000007,1299.2412674000007,1299.2412674000007,1299.2412674000007,1299.2412674000007,1299.2412674000007,1299.2595585999952,1299.7461811999965,1299.7461811999965,1299.7461811999965,1299.7461811999965,1299.7461811999965,1299.7461811999965,1299.7461811999965,1299.7461811999965,1300.6409392999994,1300.6409392999994,1300.6409392999994,1302.6472885999974,0.8490740740740741,5.393363999995927,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#00FF10,"(0.05, 0)",#FFFB00,"(0.15, 0.2)",#5C00FF,"(0.05, 0.15)",#FF8300,"(0.25, 0.15)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",0.34765625,"(0.05, 0)",4,,,,,,,,,0,46,46,33,1302.6697516999993,,,,,,,,1302.6477585999965,1302.6697516999993,1304.6569151999938,1304.6569151999938,1304.6569151999938,1304.6569151999938,1304.6569151999938,1304.6569151999938,1304.6569151999938,1304.6569151999938,1304.6739454999988,1305.1574118999997,1305.1574118999997,1305.1574118999997,1305.1574118999997,1305.1574118999997,1305.1574118999997,1305.1574118999997,1305.1574118999997,1306.0634559999962,1306.0634559999962,1306.0634559999962,1307.6610195999965,0.36203703703703705,4.991677199999685,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#F1FF00,"(0.25, 0.25)",#00FF58,"(-0.05, 0.25)",#FF0060,"(-0.3, 0)",#00FFA5,"(0.2, 0.1)",#FF5400,"(-0.2, 0.25)",#FDFF00,"(-0.1, -0.2)",#BB00FF,"(0.15, 0)",#808080,"(0, 0)",0.1796875,"(0.25, 0.25)",7,,,,,,,,,0,47,47,60,1307.6734653999956,,,,,,,,1307.661514899999,1307.6734653999956,1309.6729185000004,1309.6729185000004,1309.6729185000004,1309.6729185000004,1309.6729185000004,1309.6729185000004,1309.6729185000004,1309.6729185000004,1309.6729185000004,1310.1762023999981,1310.1762023999981,1310.1762023999981,1310.1762023999981,1310.1762023999981,1310.1762023999981,1310.1762023999981,1310.1762023999981,1311.0728890999962,1311.0728890999962,1311.0728890999962,1313.0783959999972,0.1648148148148148,5.395809499997995,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#6E00FF,"(0, 0.15)",#0070FF,"(0, -0.2)",#FF0095,"(-0.35, -0.15)",#D9FF00,"(-0.1, 0.15)",#C1FF00,"(-0.15, 0.15)",#4400FF,"(0.3, 0.2)",#808080,"(0, 0)",#808080,"(0, 0)",0.7421875,"(0, 0.15)",6,,,,,,,,,0,48,48,51,1313.1015693000008,,,,,,,,1313.0795247999995,1313.1015693000008,1315.0885794999995,1315.0885794999995,1315.0885794999995,1315.0885794999995,1315.0885794999995,1315.0885794999995,1315.0885794999995,1315.0885794999995,1315.105348099998,1315.5894291000004,1315.5894291000004,1315.5894291000004,1315.5894291000004,1315.5894291000004,1315.5894291000004,1315.5894291000004,1315.5894291000004,1316.4911061999956,1316.4911061999956,1316.4911061999956,1318.7463100999958,0.7675925925925926,5.630987599994114,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#001CFF,"(0.2, -0.15)",#FF8300,"(0.25, 0)",#00FF9F,"(0.05, -0.1)",#20FF00,"(-0.25, 0.1)",#FF1200,"(-0.1, 0.05)",#00FFE7,"(0.05, -0.25)",#808080,"(0, 0)",#808080,"(0, 0)",0.65234375,"(0.2, -0.15)",6,,,,,,,,,0,49,49,53,1318.762483300001,,,,,,,,1318.7478329000005,1318.762483300001,1320.7570808999953,1320.7570808999953,1320.7570808999953,1320.7570808999953,1320.7570808999953,1320.7570808999953,1320.7570808999953,1320.7570808999953,1320.7719311999972,1321.2740339999946,1321.2740339999946,1321.2740339999946,1321.2740339999946,1321.2740339999946,1321.2740339999946,1321.2740339999946,1321.2740339999946,1322.1547782999987,1322.1547782999987,1322.1547782999987,1323.7248466999954,0.6314814814814815,4.959458600002108,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#FF0078,"(0.15, 0.2)",#FFD100,"(0.35, 0.1)",#EB00FF,"(0.3, -0.3)",#FF0066,"(0.05, 0.15)",#5CFF00,"(-0.05, 0.2)",#00FFFF,"(-0.15, -0.1)",#F100FF,"(0.15, -0.1)",#808080,"(0, 0)",0.92578125,"(0.15, 0.2)",7,,,,,,,,,0,50,50,65,1323.7429632999992,,,,,,,,1323.7254963999949,1323.7429632999992,1325.7392761999945,1325.7392761999945,1325.7392761999945,1325.7392761999945,1325.7392761999945,1325.7392761999945,1325.7392761999945,1325.7392761999945,1325.7541945999983,1326.2548244999998,1326.2548244999998,1326.2548244999998,1326.2548244999998,1326.2548244999998,1326.2548244999998,1326.2548244999998,1326.2548244999998,1327.1373337999976,1327.1373337999976,1327.1373337999976,1328.8234262999977,0.8861111111111111,5.082060000000638,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#FD00FF,"(-0.25, -0.15)",#FFD700,"(-0.15, -0.2)",#80FF00,"(0.2, 0)",#00FFB7,"(0.1, 0.25)",#FF1E00,"(0.25, -0.1)",#FF00E9,"(-0.05, -0.25)",#808080,"(0, 0)",#808080,"(0, 0)",0.8359375,"(-0.25, -0.15)",6,,,,,,,,,0,51,51,58,1328.8413397999975,,,,,,,,1328.8239503000004,1328.8413397999975,1330.838692499994,1330.838692499994,1330.838692499994,1330.838692499994,1330.838692499994,1330.838692499994,1330.838692499994,1330.838692499994,1330.853657599997,1331.3368190999972,1331.3368190999972,1331.3368190999972,1331.3368190999972,1331.3368190999972,1331.3368190999972,1331.3368190999972,1331.3368190999972,1332.2369987999991,1332.2369987999991,1332.2369987999991,1334.275753899994,0.8351851851851853,5.423858399997698,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
